0,9694,377170,1,0.02570194,0,0.3702595,0.2179785,0.2998814,0.3042786
1055,9327,316061,1,0.02951013,0.003337963,0.3477712,0.1881955,0.3724554,0.2939955
89968,14033,290282,1,0.04834265,0.3099331,0.4907565,0.2644135,0.4910797,0.3606913
82531,13607,342049,1,0.03978085,0.2412841,0.4412556,0.2069381,0.4428765,0.3530486
0,18241,371986,1,0.04903679,0,0.3291623,0.2250338,0.3157263,0.3016997
672,13107,340448,1,0.03849927,0.00197387,0.3179761,0.1635734,0.3975011,0.297813
93928,15601,323322,1,0.04825221,0.2905092,0.4806491,0.2801595,0.507536,0.3412898
81568,17362,385660,1,0.04501893,0.2115024,0.4493138,0.1938025,0.4170163,0.3260189
88052,14529,363260,1,0.03999615,0.2423939,0.4820797,0.2758576,0.4691489,0.3435373
92511,14885,330397,1,0.04505186,0.2799995,0.424516,0.2139803,0.5017214,0.3433602
99360,14947,323940,1,0.04614126,0.3067235,0.475267,0.2710102,0.5131809,0.3481734
106711,17762,432802,1,0.04103955,0.2465585,0.4106587,0.2817789,0.4568351,0.3338366
65046,9404,235224,1,0.03997891,0.2765279,0.4688026,0.2725109,0.50771,0.3376491
56897,9721,215666,1,0.04507433,0.26382,0.4041026,0.2160106,0.5062035,0.3450266
62913,11243,205213,1,0.05478698,0.3065741,0.4637753,0.2770736,0.5373707,0.3574736
61127,12658,257318,1,0.04919205,0.2375543,0.4156708,0.2709872,0.4484379,0.3378931
121564,17122,452346,1,0.03785156,0.2687412,0.5031619,0.2462957,0.4602558,0.3395121
94812,13880,324677,1,0.04275018,0.2920195,0.4355034,0.1948465,0.4908234,0.3589249
84284,14043,267806,1,0.05243721,0.3147204,0.5024189,0.2623895,0.5071956,0.3616654
73074,12756,279604,1,0.04562166,0.2613482,0.4594994,0.2438231,0.4273006,0.3403865
102407,15844,376048,1,0.04213292,0.2723243,0.4849223,0.2689005,0.4721708,0.3500862
82088,13023,303520,1,0.04290656,0.2704533,0.4430967,0.2166751,0.4633534,0.3666277
