ChromatedPixels;EdgePixels;MaskPixels;IsOccupied;EdgePixelsRatio;ChromatedPixelsRatio;SaturationMean;SaturationStddev;ValueMean;ValueStddev
265;461;5336;False;0,0863943;0,04966267;0,1959748;0,2338062;0,3248758;0,3095307
1660;642;4644;True;0,1382429;0,3574505;0,5211641;0,3085209;0,4531084;0,3723032
5875;2164;15725;True;0,1376153;0,3736089;0,4285727;0,3078722;0,6356649;0,3666966
316;464;10284;False;0,04511863;0,03072734;0,1370978;0,1533483;0,2995767;0,2635149
0;360;7368;False;0,04885994;0;0,1134668;0,09903625;0,3515233;0,3181047
2044;952;5095;True;0,1868498;0,4011776;0,5907414;0,379844;0,4937082;0,3097218
11;534;16830;False;0,03172905;0,0006535948;0,1577953;0,1157324;0,4191812;0,2775926
4617;1998;14356;True;0,1391753;0,3216077;0,3782268;0,2494179;0,5883667;0,3796981
3746;1632;12654;True;0,1289711;0,2960329;0,4965978;0,3857454;0,445924;0,3204609
13;362;10026;False;0,03610612;0,001296629;0,1460552;0,1084183;0,3372299;0,2732872
1;428;12756;False;0,03355284;7,839448E-05;0,1222385;0,09731149;0,3490442;0,2929695
1;467;13877;False;0,03365281;7,206169E-05;0,1157305;0,1042655;0,3579895;0,2963194
0;522;13580;False;0,03843888;0;0,1407716;0,1054821;0,3774342;0,277593
175;429;12768;False;0,03359962;0,01370614;0,1779992;0,1405009;0,4239465;0,2949972
3834;1393;10235;True;0,1361016;0,374597;0,4653594;0,3153087;0,5577578;0,3749426
75;326;8443;False;0,03861187;0,008883098;0,1544605;0,1420152;0,3432234;0,2795593
2335;1100;7412;True;0,148408;0,3150297;0,5244262;0,3789439;0,4372528;0,3076271
4579;1669;13866;True;0,1203664;0,3302322;0,3825778;0,2576097;0,5732617;0,3784364
4467;1852;13863;True;0,133593;0,3222246;0,5078133;0,3925402;0,4650432;0,3415255
3744;1959;14365;True;0,1363731;0,2606335;0,3467114;0,2473217;0,5155016;0,3921102
143;420;9532;False;0,04406211;0,0150021;0,1825344;0,1224962;0,3645557;0,2404961
